City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Ternate,ID,2023-01-27 04:24:48,0.8,127.4,80.76,81,91,9.91
282,Rosetta,EG,2023-01-27 04:24:49,31.4044,30.4164,55.02,55,75,12.5
283,Rognan,NO,2023-01-27 04:24:49,67.0953,15.3878,35.74,86,100,9.6
284,Tokmak,UA,2023-01-27 04:24:49,47.2514,35.7058,29.19,72,0,6.87
285,Murray Bridge,AU,2023-01-27 04:24:50,-35.1167,139.2667,100.13,15,0,9.44
286,Boende,CD,2023-01-27 04:24:50,-0.2167,20.8667,69.37,88,80,2.95
287,Constitucion,CL,2023-01-27 04:24:50,-35.3333,-72.4167,56.41,82,0,10.94
288,Khanpur,PK,2023-01-27 04:24:51,28.6453,70.6567,55.94,22,0,5.64
289,Zhifang,CN,2023-01-27 04:24:51,30.35,114.3167,42.78,18,45,14.16
290,Sao Gabriel Da Cachoeira,BR,2023-01-27 04:24:52,-0.1303,-67.0892,75.51,85,92,1.03
291,Walvis Bay,NA,2023-01-27 04:24:52,-22.9575,14.5053,61.09,87,90,2.89
292,Chuy,UY,2023-01-27 04:24:52,-33.6971,-53.4616,74.57,90,88,9.26
293,Lakes Entrance,AU,2023-01-27 04:19:55,-37.8811,147.981,74.16,60,2,11.7
